Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,805558435,1,OK,0.7136700,0.3130142,-0.4797306,0.4031822,208.821,63.847,-1631.668,0.1595940,4,OK,145.629,-63.467,-1560.122,OK,124.316,-105.032,-1543.074,OK,80.470,-134.857,-1524.249,OK,109.244,-187.819,-1515.288,Port 2: NDI 8700449  s/n:3532DC02,805558435,1,OK,0.6848989,0.2609604,-0.6060038,0.3091482,227.630,112.529,-1615.154,0.2117321,4,OK,227.690,112.584,-1614.959,OK,173.156,123.302,-1612.371,OK,167.950,47.139,-1603.489,OK,230.213,62.826,-1610.160
2,Port 1: NDI 8700340  s/n:34802401,805558495,1,OK,0.7002187,0.3111687,-0.4858047,0.4205491,207.422,66.165,-1630.207,0.1479463,4,OK,145.686,-62.595,-1560.049,OK,125.038,-104.699,-1543.378,OK,81.498,-135.734,-1525.913,OK,111.527,-187.752,-1515.642,Port 2: NDI 8700449  s/n:3532DC02,805558495,1,OK,0.6847200,0.2608521,-0.6061933,0.3092643,227.610,112.525,-1615.196,0.2109117,4,OK,227.668,112.589,-1615.005,OK,173.140,123.298,-1612.445,OK,167.926,47.128,-1603.563,OK,230.187,62.820,-1610.193
2,Port 1: NDI 8700340  s/n:34802401,805558555,1,OK,0.6822761,0.3146347,-0.4916305,0.4402316,204.699,67.794,-1629.237,0.1441167,4,OK,146.097,-63.624,-1561.434,OK,126.641,-106.616,-1545.506,OK,83.878,-139.543,-1529.617,OK,115.726,-190.251,-1518.365,Port 2: NDI 8700449  s/n:3532DC02,805558555,1,OK,0.6846083,0.2608422,-0.6062387,0.3094308,227.567,112.519,-1615.212,0.2019624,4,OK,227.634,112.579,-1615.036,OK,173.084,123.281,-1612.468,OK,167.901,47.107,-1603.597,OK,230.152,62.814,-1610.188
2,Port 1: NDI 8700340  s/n:34802401,805558615,1,OK,0.6755950,0.3188287,-0.4846118,0.4550506,200.576,66.264,-1629.357,0.1408229,4,OK,146.362,-66.374,-1560.261,OK,128.371,-109.836,-1543.941,OK,86.734,-144.036,-1527.786,OK,120.281,-193.506,-1515.899,Port 2: NDI 8700449  s/n:3532DC02,805558615,1,OK,0.6840548,0.2607497,-0.6067273,0.3097751,227.487,112.491,-1615.259,0.2091389,4,OK,227.540,112.554,-1615.072,OK,173.005,123.234,-1612.609,OK,167.833,47.049,-1603.735,OK,230.087,62.784,-1610.242
2,Port 1: NDI 8700340  s/n:34802401,805558675,1,OK,0.7042846,0.3044086,-0.4719826,0.4342247,205.095,60.866,-1633.262,0.1601932,4,OK,146.298,-66.271,-1557.793,OK,126.556,-108.100,-1539.498,OK,83.732,-139.229,-1520.404,OK,114.775,-190.282,-1508.512,Port 2: NDI 8700449  s/n:3532DC02,805558675,1,OK,0.6841630,0.2607139,-0.6066488,0.3097200,227.515,112.490,-1615.221,0.2011830,4,OK,227.569,112.555,-1615.042,OK,173.034,123.233,-1612.552,OK,167.857,47.066,-1603.682,OK,230.108,62.780,-1610.194
2,Port 1: NDI 8700340  s/n:34802401,805558738,1,OK,0.7134460,0.2960456,-0.4681000,0.4292251,205.985,57.431,-1636.479,0.1638409,4,OK,145.362,-67.247,-1558.400,OK,124.960,-108.366,-1539.251,OK,81.696,-138.304,-1519.233,OK,111.805,-189.789,-1506.823,Port 2: NDI 8700449  s/n:3532DC02,805558738,1,OK,0.6846465,0.2608998,-0.6061912,0.3093907,227.565,112.500,-1615.219,0.1899186,4,OK,227.634,112.562,-1615.065,OK,173.080,123.261,-1612.451,OK,167.900,47.086,-1603.611,OK,230.152,62.794,-1610.180
2,Port 1: NDI 8700340  s/n:34802401,805558798,1,OK,0.7007577,0.3105752,-0.4714043,0.4361877,202.072,61.214,-1632.542,0.1481880,4,OK,144.943,-67.243,-1558.079,OK,125.713,-109.465,-1540.069,OK,83.310,-141.275,-1521.197,OK,114.982,-192.060,-1509.785,Port 2: NDI 8700449  s/n:3532DC02,805558798,1,OK,0.6841298,0.2605596,-0.6066672,0.3098872,227.489,112.504,-1615.265,0.2003308,4,OK,227.546,112.571,-1615.095,OK,173.007,123.254,-1612.609,OK,167.829,47.069,-1603.719,OK,230.082,62.797,-1610.209
2,Port 1: NDI 8700340  s/n:34802401,805558858,1,OK,0.6851376,0.3266920,-0.4672255,0.4533864,195.815,63.609,-1630.748,0.1576800,4,OK,145.522,-68.753,-1558.183,OK,128.581,-112.198,-1540.849,OK,87.906,-146.538,-1522.586,OK,122.297,-195.619,-1511.617,Port 2: NDI 8700449  s/n:3532DC02,805558858,1,OK,0.6842696,0.2609664,-0.6065317,0.3095011,227.517,112.523,-1615.230,0.1924489,4,OK,227.574,112.588,-1615.066,OK,173.035,123.261,-1612.515,OK,167.858,47.095,-1603.698,OK,230.119,62.813,-1610.216
2,Port 1: NDI 8700340  s/n:34802401,805558918,1,OK,0.6804412,0.3287999,-0.4580810,0.4680302,191.365,60.707,-1632.858,0.1514245,4,OK,145.391,-72.041,-1558.172,OK,129.853,-115.705,-1540.057,OK,90.310,-151.054,-1521.274,OK,126.285,-198.808,-1509.552,Port 2: NDI 8700449  s/n:3532DC02,805558918,1,OK,0.6842156,0.2608059,-0.6065601,0.3097001,227.471,112.485,-1615.281,0.1985276,4,OK,227.533,112.547,-1615.109,OK,172.985,123.221,-1612.592,OK,167.813,47.051,-1603.735,OK,230.075,62.782,-1610.251
2,Port 1: NDI 8700340  s/n:34802401,805558978,1,OK,0.6970839,0.3103545,-0.4600434,0.4539981,197.256,56.220,-1636.128,0.1557456,4,OK,144.717,-72.282,-1558.424,OK,127.003,-114.682,-1539.333,OK,85.733,-147.488,-1519.619,OK,119.188,-196.823,-1507.015,Port 2: NDI 8700449  s/n:3532DC02,805558978,1,OK,0.6842477,0.2609926,-0.6065410,0.3095091,227.475,112.485,-1615.281,0.1987929,4,OK,227.534,112.548,-1615.105,OK,172.990,123.220,-1612.575,OK,167.821,47.054,-1603.747,OK,230.076,62.777,-1610.279
