Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499970500,1,OK,0.6684189,0.2185246,-0.6212028,0.3457893,121.038,-134.727,-1608.058,0.1867654,4,OK,14.728,-246.079,-1568.679,OK,-19.511,-282.266,-1562.386,OK,-71.841,-301.675,-1558.921,OK,-58.697,-360.155,-1547.409,Port 2: NDI 8700449  s/n:3532DC02,499970500,1,OK,0.6483032,-0.1522209,-0.7433616,-0.0628117,179.109,-87.878,-1530.358,0.3385912,4,OK,179.169,-87.891,-1529.967,OK,166.443,-34.585,-1539.926,OK,94.678,-61.932,-1543.672,OK,134.878,-111.119,-1532.365
2,Port 1: NDI 8700340  s/n:34802401,499970503,1,OK,0.6682968,0.2182956,-0.6217076,0.3452624,121.030,-134.704,-1607.998,0.2209378,4,OK,14.559,-245.965,-1568.738,OK,-19.724,-282.137,-1562.617,OK,-72.066,-301.461,-1559.116,OK,-58.999,-359.969,-1547.637,Port 2: NDI 8700449  s/n:3532DC02,499970503,1,OK,0.6482031,-0.1522223,-0.7434509,-0.0627844,179.117,-87.879,-1530.376,0.3285488,4,OK,179.176,-87.896,-1530.000,OK,166.452,-34.583,-1539.942,OK,94.686,-61.941,-1543.723,OK,134.886,-111.122,-1532.379
2,Port 1: NDI 8700340  s/n:34802401,499970506,1,OK,0.6678847,0.2168624,-0.6227129,0.3451513,121.040,-134.741,-1608.120,0.2059687,4,OK,14.232,-245.748,-1569.078,OK,-20.146,-281.831,-1562.965,OK,-72.548,-301.061,-1559.634,OK,-59.626,-359.572,-1548.069,Port 2: NDI 8700449  s/n:3532DC02,499970506,1,OK,0.6483411,-0.1521810,-0.7433368,-0.0628109,179.099,-87.873,-1530.370,0.3268677,4,OK,179.160,-87.884,-1529.997,OK,166.431,-34.583,-1539.922,OK,94.664,-61.932,-1543.686,OK,134.869,-111.117,-1532.360
2,Port 1: NDI 8700340  s/n:34802401,499970509,1,OK,0.6693178,0.2172229,-0.6218644,0.3436752,121.024,-134.701,-1607.995,0.2096870,4,OK,14.130,-245.516,-1568.667,OK,-20.305,-281.541,-1562.473,OK,-72.734,-300.660,-1558.956,OK,-59.896,-359.213,-1547.504,Port 2: NDI 8700449  s/n:3532DC02,499970509,1,OK,0.6483493,-0.1522836,-0.7433067,-0.0628341,179.120,-87.865,-1530.353,0.3291507,4,OK,179.178,-87.877,-1529.976,OK,166.462,-34.569,-1539.911,OK,94.690,-61.910,-1543.663,OK,134.884,-111.099,-1532.341
2,Port 1: NDI 8700340  s/n:34802401,499970512,1,OK,0.6711810,0.2162486,-0.6201126,0.3438212,121.058,-134.731,-1608.022,0.1952399,4,OK,14.156,-245.244,-1567.910,OK,-20.322,-281.191,-1561.392,OK,-72.760,-300.221,-1557.649,OK,-59.964,-358.751,-1546.044,Port 2: NDI 8700449  s/n:3532DC02,499970512,1,OK,0.6481801,-0.1520592,-0.7434948,-0.0628961,179.104,-87.880,-1530.370,0.3266582,4,OK,179.166,-87.898,-1529.997,OK,166.435,-34.585,-1539.917,OK,94.671,-61.948,-1543.722,OK,134.876,-111.122,-1532.386
2,Port 1: NDI 8700340  s/n:34802401,499970515,1,OK,0.6722298,0.2183625,-0.6186270,0.3431115,121.038,-134.707,-1608.037,0.2100856,4,OK,14.508,-245.481,-1567.608,OK,-19.869,-281.498,-1561.066,OK,-72.255,-300.610,-1557.050,OK,-59.315,-359.159,-1545.638,Port 2: NDI 8700449  s/n:3532DC02,499970515,1,OK,0.6483102,-0.1523629,-0.7433364,-0.0626928,179.118,-87.856,-1530.343,0.3273898,4,OK,179.176,-87.868,-1529.969,OK,166.458,-34.564,-1539.919,OK,94.690,-61.916,-1543.667,OK,134.880,-111.093,-1532.325
2,Port 1: NDI 8700340  s/n:34802401,499970518,1,OK,0.6722206,0.2198694,-0.6179797,0.3433336,121.063,-134.751,-1608.110,0.2109578,4,OK,14.883,-245.835,-1567.637,OK,-19.395,-281.949,-1561.076,OK,-71.737,-301.200,-1556.993,OK,-58.627,-359.724,-1545.683,Port 2: NDI 8700449  s/n:3532DC02,499970518,1,OK,0.6480978,-0.1519988,-0.7435764,-0.0629270,179.102,-87.884,-1530.362,0.3292048,4,OK,179.164,-87.899,-1529.984,OK,166.430,-34.589,-1539.910,OK,94.674,-61.954,-1543.729,OK,134.874,-111.132,-1532.395
2,Port 1: NDI 8700340  s/n:34802401,499970521,1,OK,0.6716550,0.2210410,-0.6182144,0.3432657,121.093,-134.776,-1608.086,0.2157667,4,OK,15.082,-246.118,-1567.854,OK,-19.138,-282.309,-1561.395,OK,-71.433,-301.638,-1557.347,OK,-58.238,-360.172,-1546.154,Port 2: NDI 8700449  s/n:3532DC02,499970521,1,OK,0.6481295,-0.1522568,-0.7435120,-0.0627376,179.101,-87.872,-1530.329,0.3241003,4,OK,179.161,-87.888,-1529.960,OK,166.436,-34.585,-1539.901,OK,94.671,-61.938,-1543.698,OK,134.873,-111.109,-1532.332
2,Port 1: NDI 8700340  s/n:34802401,499970524,1,OK,0.6719211,0.2213727,-0.6179752,0.3429617,121.104,-134.803,-1608.170,0.1998497,4,OK,15.123,-246.162,-1567.910,OK,-19.082,-282.343,-1561.387,OK,-71.387,-301.684,-1557.333,OK,-58.183,-360.218,-1546.186,Port 2: NDI 8700449  s/n:3532DC02,499970524,1,OK,0.6483328,-0.1522118,-0.7433415,-0.0627664,179.098,-87.879,-1530.384,0.3194949,4,OK,179.158,-87.890,-1530.020,OK,166.428,-34.588,-1539.935,OK,94.665,-61.940,-1543.708,OK,134.866,-111.122,-1532.362
2,Port 1: NDI 8700340  s/n:34802401,499970527,1,OK,0.6727116,0.2218120,-0.6177952,0.3414494,121.085,-134.772,-1608.106,0.1998010,4,OK,14.981,-246.005,-1567.837,OK,-19.289,-282.126,-1561.303,OK,-71.625,-301.377,-1557.179,OK,-58.504,-359.966,-1546.176,Port 2: NDI 8700449  s/n:3532DC02,499970527,1,OK,0.6481525,-0.1521795,-0.7435000,-0.0628281,179.093,-87.882,-1530.349,0.3277457,4,OK,179.152,-87.894,-1529.974,OK,166.429,-34.593,-1539.910,OK,94.663,-61.942,-1543.707,OK,134.865,-111.121,-1532.361
