Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499984012,1,OK,0.6909269,0.3094551,-0.5529152,0.3480551,128.581,-141.711,-1603.894,0.1894727,4,OK,45.942,-268.206,-1554.672,OK,18.216,-308.974,-1545.108,OK,-29.808,-335.381,-1533.923,OK,-7.596,-392.046,-1529.213,Port 2: NDI 8700449  s/n:3532DC02,499984012,1,OK,0.6490211,-0.1525388,-0.7426610,-0.0629149,179.188,-87.797,-1530.386,0.3136250,4,OK,179.245,-87.808,-1530.030,OK,166.539,-34.496,-1539.903,OK,94.752,-61.786,-1543.551,OK,134.937,-111.008,-1532.275
2,Port 1: NDI 8700340  s/n:34802401,499984135,1,OK,0.6964142,0.3106386,-0.5564272,0.3299995,121.985,-136.033,-1602.541,0.2031564,4,OK,36.255,-261.030,-1554.781,OK,7.454,-301.170,-1545.738,OK,-41.175,-326.356,-1534.405,OK,-20.609,-383.744,-1531.153,Port 2: NDI 8700449  s/n:3532DC02,499984135,1,OK,0.6488365,-0.1527806,-0.7427941,-0.0626598,179.173,-87.801,-1530.379,0.3263701,4,OK,179.228,-87.816,-1530.005,OK,166.531,-34.498,-1539.955,OK,94.746,-61.804,-1543.581,OK,134.919,-111.016,-1532.281
2,Port 1: NDI 8700340  s/n:34802401,499984255,1,OK,0.6792770,0.2898991,-0.5952421,0.3165881,120.224,-132.134,-1614.686,0.1796119,4,OK,24.409,-253.134,-1576.833,OK,-7.125,-291.766,-1570.968,OK,-57.771,-314.472,-1564.126,OK,-40.649,-372.962,-1560.685,Port 2: NDI 8700449  s/n:3532DC02,499984255,1,OK,0.6487226,-0.1524741,-0.7429360,-0.0629029,179.166,-87.804,-1530.383,0.3171076,4,OK,179.221,-87.815,-1530.022,OK,166.520,-34.504,-1539.917,OK,94.738,-61.810,-1543.615,OK,134.920,-111.023,-1532.311
2,Port 1: NDI 8700340  s/n:34802401,499984375,1,OK,0.6914767,0.2907227,-0.5903581,0.2980227,124.953,-136.706,-1617.352,0.1808602,4,OK,26.903,-255.385,-1577.922,OK,-5.548,-293.169,-1571.508,OK,-56.600,-314.492,-1563.309,OK,-41.088,-373.483,-1561.167,Port 2: NDI 8700449  s/n:3532DC02,499984375,1,OK,0.6487792,-0.1525875,-0.7428464,-0.0631016,179.216,-87.764,-1530.297,0.3287307,4,OK,179.276,-87.775,-1529.921,OK,166.590,-34.457,-1539.830,OK,94.793,-61.725,-1543.503,OK,134.961,-110.966,-1532.235
2,Port 1: NDI 8700340  s/n:34802401,499984498,1,OK,0.6787983,0.3002116,-0.5977516,0.3029833,121.068,-130.615,-1620.533,0.1886371,4,OK,24.742,-252.067,-1585.553,OK,-7.017,-290.656,-1580.632,OK,-57.760,-313.208,-1573.958,OK,-41.053,-371.881,-1572.573,Port 2: NDI 8700449  s/n:3532DC02,499984498,1,OK,0.6490146,-0.1526451,-0.7426543,-0.0628027,179.185,-87.798,-1530.398,0.3160574,4,OK,179.243,-87.809,-1530.039,OK,166.539,-34.495,-1539.933,OK,94.749,-61.792,-1543.566,OK,134.930,-111.013,-1532.280
2,Port 1: NDI 8700340  s/n:34802401,499984618,1,OK,0.6819638,0.3113870,-0.5914281,0.2969450,115.085,-124.231,-1612.383,0.1745798,4,OK,20.413,-246.942,-1577.280,OK,-10.953,-285.832,-1572.238,OK,-61.380,-308.849,-1564.829,OK,-44.242,-367.437,-1564.806,Port 2: NDI 8700449  s/n:3532DC02,499984618,1,OK,0.6489450,-0.1525557,-0.7427294,-0.0628512,179.183,-87.800,-1530.428,0.3041312,4,OK,179.241,-87.811,-1530.088,OK,166.537,-34.495,-1539.946,OK,94.748,-61.799,-1543.622,OK,134.932,-111.019,-1532.308
2,Port 1: NDI 8700340  s/n:34802401,499984738,1,OK,0.6972931,0.3219456,-0.5778669,0.2760493,114.744,-125.003,-1604.108,0.1636058,4,OK,20.057,-246.926,-1566.355,OK,-11.617,-285.410,-1560.343,OK,-61.967,-307.756,-1550.635,OK,-45.852,-366.596,-1552.808,Port 2: NDI 8700449  s/n:3532DC02,499984738,1,OK,0.6489147,-0.1524794,-0.7427632,-0.0629497,179.177,-87.798,-1530.390,0.3209361,4,OK,179.235,-87.808,-1530.023,OK,166.529,-34.499,-1539.914,OK,94.744,-61.795,-1543.573,OK,134.926,-111.007,-1532.306
2,Port 1: NDI 8700340  s/n:34802401,499984858,1,OK,0.7211196,0.3277938,-0.5569861,0.2496084,116.269,-127.379,-1597.700,0.1379935,4,OK,21.093,-246.958,-1554.104,OK,-11.151,-284.563,-1545.987,OK,-61.260,-305.538,-1532.747,OK,-47.161,-364.804,-1536.781,Port 2: NDI 8700449  s/n:3532DC02,499984858,1,OK,0.6489264,-0.1523584,-0.7427702,-0.0630393,179.169,-87.802,-1530.407,0.3264955,4,OK,179.222,-87.812,-1530.033,OK,166.521,-34.496,-1539.922,OK,94.737,-61.801,-1543.580,OK,134.920,-111.020,-1532.337
2,Port 1: NDI 8700340  s/n:34802401,499984978,1,OK,0.7203936,0.3263030,-0.5589666,0.2492304,111.842,-119.233,-1597.701,0.1405502,4,OK,16.115,-238.501,-1554.475,OK,-16.291,-275.999,-1546.474,OK,-66.518,-296.810,-1533.442,OK,-52.581,-356.133,-1537.404,Port 2: NDI 8700449  s/n:3532DC02,499984978,1,OK,0.6486152,-0.1523164,-0.7430648,-0.0628709,179.149,-87.815,-1530.400,0.3145159,4,OK,179.211,-87.830,-1530.042,OK,166.488,-34.511,-1539.931,OK,94.719,-61.849,-1543.659,OK,134.902,-111.046,-1532.342
2,Port 1: NDI 8700340  s/n:34802401,499985101,1,OK,0.7487544,0.3227507,-0.5363615,0.2179797,115.535,-123.653,-1589.499,0.1264455,4,OK,18.038,-238.250,-1538.274,OK,-15.330,-274.167,-1527.495,OK,-65.251,-292.519,-1510.356,OK,-54.586,-352.446,-1515.337,Port 2: NDI 8700449  s/n:3532DC02,499985101,1,OK,0.6487075,-0.1522322,-0.7430067,-0.0628094,179.135,-87.827,-1530.420,0.3255932,4,OK,179.194,-87.842,-1530.048,OK,166.464,-34.528,-1539.954,OK,94.693,-61.875,-1543.651,OK,134.900,-111.064,-1532.367
