Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499853335,1,OK,0.4645451,0.1476873,-0.7773813,0.3975733,221.140,-158.027,-1595.400,0.2934442,4,OK,116.926,-275.548,-1618.777,OK,86.506,-313.427,-1632.103,OK,41.139,-335.244,-1656.347,OK,50.150,-393.587,-1641.005,Port 2: NDI 8700449  s/n:3532DC02,499853335,1,OK,0.6486472,-0.1481637,-0.7433829,-0.0684554,179.095,-89.204,-1532.223,0.2942080,4,OK,179.165,-89.224,-1531.899,OK,166.509,-35.765,-1541.035,OK,94.714,-62.968,-1545.367,OK,134.834,-112.367,-1534.565
2,Port 1: NDI 8700340  s/n:34802401,499853338,1,OK,0.4642418,0.1474488,-0.7776082,0.3975725,221.142,-158.033,-1595.385,0.2813249,4,OK,116.925,-275.533,-1618.872,OK,86.513,-313.396,-1632.189,OK,41.157,-335.208,-1656.505,OK,50.144,-393.566,-1641.155,Port 2: NDI 8700449  s/n:3532DC02,499853338,1,OK,0.6487705,-0.1480702,-0.7432876,-0.0685251,179.095,-89.209,-1532.244,0.3088357,4,OK,179.162,-89.225,-1531.898,OK,166.508,-35.772,-1541.053,OK,94.711,-62.976,-1545.344,OK,134.834,-112.370,-1534.602
2,Port 1: NDI 8700340  s/n:34802401,499853341,1,OK,0.4642471,0.1480407,-0.7777012,0.3971642,221.133,-158.039,-1595.337,0.2595151,4,OK,116.964,-275.560,-1618.942,OK,86.559,-313.421,-1632.232,OK,41.222,-335.231,-1656.586,OK,50.223,-393.606,-1641.328,Port 2: NDI 8700449  s/n:3532DC02,499853341,1,OK,0.6486759,-0.1480872,-0.7433702,-0.0684872,179.094,-89.206,-1532.225,0.3125832,4,OK,179.164,-89.229,-1531.872,OK,166.502,-35.768,-1541.047,OK,94.712,-62.976,-1545.344,OK,134.834,-112.367,-1534.595
2,Port 1: NDI 8700340  s/n:34802401,499853344,1,OK,0.4638275,0.1477140,-0.7777973,0.3975877,221.124,-158.033,-1595.331,0.2851924,4,OK,117.005,-275.592,-1618.936,OK,86.630,-313.475,-1632.298,OK,41.294,-335.306,-1656.651,OK,50.320,-393.660,-1641.321,Port 2: NDI 8700449  s/n:3532DC02,499853344,1,OK,0.6488588,-0.1480384,-0.7432134,-0.0685624,179.090,-89.208,-1532.243,0.3067344,4,OK,179.163,-89.229,-1531.898,OK,166.495,-35.768,-1541.041,OK,94.708,-62.973,-1545.322,OK,134.823,-112.367,-1534.593
2,Port 1: NDI 8700340  s/n:34802401,499853347,1,OK,0.4640577,0.1482087,-0.7774349,0.3978436,221.151,-158.047,-1595.398,0.2740690,4,OK,117.117,-275.720,-1618.877,OK,86.764,-313.621,-1632.158,OK,41.419,-335.507,-1656.493,OK,50.527,-393.840,-1641.148,Port 2: NDI 8700449  s/n:3532DC02,499853347,1,OK,0.6487330,-0.1481016,-0.7433169,-0.0684936,179.091,-89.209,-1532.226,0.3216008,4,OK,179.153,-89.222,-1531.862,OK,166.505,-35.775,-1541.053,OK,94.706,-62.973,-1545.325,OK,134.834,-112.375,-1534.601
2,Port 1: NDI 8700340  s/n:34802401,499853350,1,OK,0.4642377,0.1483832,-0.7773693,0.3976967,221.152,-158.048,-1595.358,0.2686429,4,OK,117.112,-275.716,-1618.823,OK,86.739,-313.611,-1632.082,OK,41.394,-335.492,-1656.411,OK,50.507,-393.835,-1641.088,Port 2: NDI 8700449  s/n:3532DC02,499853350,1,OK,0.6486585,-0.1482259,-0.7433692,-0.0683623,179.096,-89.205,-1532.209,0.3117605,4,OK,179.161,-89.224,-1531.857,OK,166.503,-35.775,-1541.051,OK,94.717,-62.970,-1545.336,OK,134.842,-112.368,-1534.569
2,Port 1: NDI 8700340  s/n:34802401,499853353,1,OK,0.4640842,0.1483085,-0.7777376,0.3971834,221.118,-158.043,-1595.291,0.2736948,4,OK,117.026,-275.609,-1618.924,OK,86.632,-313.492,-1632.259,OK,41.300,-335.324,-1656.609,OK,50.344,-393.689,-1641.361,Port 2: NDI 8700449  s/n:3532DC02,499853353,1,OK,0.6484867,-0.1479923,-0.7435456,-0.0685795,179.089,-89.203,-1532.199,0.3105882,4,OK,179.157,-89.225,-1531.851,OK,166.497,-35.765,-1541.016,OK,94.710,-62.968,-1545.364,OK,134.838,-112.369,-1534.593
2,Port 1: NDI 8700340  s/n:34802401,499853356,1,OK,0.4636760,0.1474321,-0.7780634,0.3973483,221.111,-158.041,-1595.281,0.2936123,4,OK,116.943,-275.521,-1618.988,OK,86.540,-313.386,-1632.401,OK,41.208,-335.188,-1656.780,OK,50.190,-393.544,-1641.466,Port 2: NDI 8700449  s/n:3532DC02,499853356,1,OK,0.6485777,-0.1479499,-0.7434701,-0.0686292,179.098,-89.207,-1532.219,0.3035663,4,OK,179.166,-89.225,-1531.879,OK,166.508,-35.768,-1541.018,OK,94.721,-62.973,-1545.364,OK,134.842,-112.371,-1534.600
2,Port 1: NDI 8700340  s/n:34802401,499853359,1,OK,0.4637872,0.1472773,-0.7780167,0.3973674,221.149,-158.024,-1595.384,0.2858047,4,OK,116.928,-275.492,-1619.060,OK,86.522,-313.343,-1632.458,OK,41.208,-335.118,-1656.814,OK,50.155,-393.485,-1641.496,Port 2: NDI 8700449  s/n:3532DC02,499853359,1,OK,0.6485564,-0.1481424,-0.7434654,-0.0684657,179.087,-89.206,-1532.216,0.2987563,4,OK,179.160,-89.227,-1531.884,OK,166.497,-35.768,-1541.037,OK,94.711,-62.970,-1545.376,OK,134.827,-112.370,-1534.577
2,Port 1: NDI 8700340  s/n:34802401,499853362,1,OK,0.4637939,0.1475711,-0.7779307,0.3974190,221.162,-158.041,-1595.397,0.2992347,4,OK,116.998,-275.556,-1619.041,OK,86.611,-313.432,-1632.469,OK,41.289,-335.226,-1656.792,OK,50.278,-393.583,-1641.480,Port 2: NDI 8700449  s/n:3532DC02,499853362,1,OK,0.6487482,-0.1482091,-0.7432925,-0.0683821,179.096,-89.205,-1532.236,0.3210248,4,OK,179.163,-89.222,-1531.872,OK,166.508,-35.771,-1541.077,OK,94.712,-62.972,-1545.334,OK,134.838,-112.368,-1534.598
2,Port 1: NDI 8700340  s/n:34802401,499853365,1,OK,0.4633720,0.1476191,-0.7779325,0.3978894,221.112,-158.041,-1595.281,0.3003833,4,OK,117.078,-275.657,-1618.938,OK,86.719,-313.558,-1632.355,OK,41.416,-335.417,-1656.726,OK,50.469,-393.757,-1641.359,Port 2: NDI 8700449  s/n:3532DC02,499853365,1,OK,0.6487342,-0.1481806,-0.7433073,-0.0684162,179.096,-89.208,-1532.238,0.3103344,4,OK,179.164,-89.230,-1531.887,OK,166.504,-35.767,-1541.067,OK,94.717,-62.976,-1545.346,OK,134.833,-112.368,-1534.592
2,Port 1: NDI 8700340  s/n:34802401,499853368,1,OK,0.4639391,0.1481383,-0.7776223,0.3976418,221.135,-158.035,-1595.339,0.2895479,4,OK,117.083,-275.657,-1618.887,OK,86.716,-313.571,-1632.248,OK,41.389,-335.418,-1656.562,OK,50.460,-393.772,-1641.247,Port 2: NDI 8700449  s/n:3532DC02,499853368,1,OK,0.6485856,-0.1483023,-0.7434249,-0.0682832,179.092,-89.201,-1532.226,0.3136229,4,OK,179.156,-89.219,-1531.872,OK,166.506,-35.770,-1541.084,OK,94.716,-62.975,-1545.369,OK,134.833,-112.362,-1534.590
2,Port 1: NDI 8700340  s/n:34802401,499853371,1,OK,0.4641244,0.1479967,-0.7776217,0.3974796,221.133,-158.032,-1595.337,0.2807203,4,OK,117.015,-275.606,-1618.879,OK,86.627,-313.478,-1632.207,OK,41.278,-335.325,-1656.536,OK,50.324,-393.679,-1641.227,Port 2: NDI 8700449  s/n:3532DC02,499853371,1,OK,0.6487007,-0.1481264,-0.7433450,-0.0684410,179.099,-89.207,-1532.225,0.3104769,4,OK,179.168,-89.226,-1531.877,OK,166.510,-35.773,-1541.048,OK,94.713,-62.978,-1545.342,OK,134.842,-112.369,-1534.585
2,Port 1: NDI 8700340  s/n:34802401,499853374,1,OK,0.4641774,0.1475415,-0.7777575,0.3973211,221.125,-158.022,-1595.359,0.3077864,4,OK,116.898,-275.495,-1618.899,OK,86.490,-313.369,-1632.321,OK,41.128,-335.141,-1656.596,OK,50.116,-393.505,-1641.277,Port 2: NDI 8700449  s/n:3532DC02,499853374,1,OK,0.6485971,-0.1481149,-0.7434369,-0.0684498,179.092,-89.204,-1532.218,0.3246475,4,OK,179.160,-89.224,-1531.850,OK,166.506,-35.763,-1541.059,OK,94.710,-62.976,-1545.348,OK,134.834,-112.373,-1534.607
2,Port 1: NDI 8700340  s/n:34802401,499853377,1,OK,0.4645111,0.1473743,-0.7775982,0.3973051,221.160,-158.023,-1595.435,0.2796812,4,OK,116.856,-275.471,-1618.908,OK,86.419,-313.303,-1632.225,OK,41.054,-335.074,-1656.515,OK,50.012,-393.435,-1641.187,Port 2: NDI 8700449  s/n:3532DC02,499853377,1,OK,0.6486882,-0.1480031,-0.7433656,-0.0686024,179.099,-89.202,-1532.243,0.3050371,4,OK,179.168,-89.222,-1531.902,OK,166.509,-35.760,-1541.043,OK,94.719,-62.965,-1545.363,OK,134.839,-112.363,-1534.611
2,Port 1: NDI 8700340  s/n:34802401,499853380,1,OK,0.4643733,0.1476020,-0.7777075,0.3971675,221.137,-158.024,-1595.387,0.2807745,4,OK,116.875,-275.477,-1618.933,OK,86.444,-313.328,-1632.280,OK,41.101,-335.101,-1656.574,OK,50.054,-393.466,-1641.291,Port 2: NDI 8700449  s/n:3532DC02,499853380,1,OK,0.6485503,-0.1479571,-0.7434941,-0.0686129,179.095,-89.207,-1532.224,0.3112746,4,OK,179.158,-89.223,-1531.873,OK,166.507,-35.771,-1541.033,OK,94.719,-62.975,-1545.369,OK,134.842,-112.374,-1534.617
2,Port 1: NDI 8700340  s/n:34802401,499853383,1,OK,0.4641240,0.1481486,-0.7778301,0.3970154,221.117,-158.032,-1595.251,0.2771166,4,OK,116.965,-275.547,-1618.911,OK,86.566,-313.416,-1632.272,OK,41.225,-335.216,-1656.614,OK,50.238,-393.587,-1641.377,Port 2: NDI 8700449  s/n:3532DC02,499853383,1,OK,0.6484209,-0.1481001,-0.7435876,-0.0685141,179.087,-89.205,-1532.198,0.3184766,4,OK,179.157,-89.224,-1531.837,OK,166.502,-35.773,-1541.037,OK,94.712,-62.970,-1545.372,OK,134.832,-112.366,-1534.603
2,Port 1: NDI 8700340  s/n:34802401,499853386,1,OK,0.4639015,0.1487217,-0.7776993,0.3973172,221.128,-158.032,-1595.303,0.2606077,4,OK,117.143,-275.691,-1618.971,OK,86.783,-313.592,-1632.272,OK,41.471,-335.465,-1656.655,OK,50.570,-393.829,-1641.419,Port 2: NDI 8700449  s/n:3532DC02,499853386,1,OK,0.6488552,-0.1480238,-0.7432213,-0.0685421,179.097,-89.204,-1532.252,0.3068162,4,OK,179.167,-89.222,-1531.907,OK,166.498,-35.771,-1541.051,OK,94.710,-62.969,-1545.333,OK,134.837,-112.363,-1534.603
2,Port 1: NDI 8700340  s/n:34802401,499853389,1,OK,0.4642690,0.1495743,-0.7774167,0.3971209,221.170,-158.052,-1595.366,0.2730742,4,OK,117.248,-275.801,-1618.945,OK,86.912,-313.713,-1632.276,OK,41.589,-335.601,-1656.561,OK,50.764,-393.967,-1641.385,Port 2: NDI 8700449  s/n:3532DC02,499853389,1,OK,0.6485088,-0.1481328,-0.7435132,-0.0684182,179.095,-89.204,-1532.212,0.2993082,4,OK,179.164,-89.222,-1531.877,OK,166.502,-35.771,-1541.039,OK,94.721,-62.978,-1545.381,OK,134.838,-112.370,-1534.578
2,Port 1: NDI 8700340  s/n:34802401,499853392,1,OK,0.4642761,0.1494922,-0.7775055,0.3969697,221.145,-158.044,-1595.303,0.2728270,4,OK,117.192,-275.747,-1618.918,OK,86.849,-313.657,-1632.258,OK,41.514,-335.524,-1656.556,OK,50.668,-393.905,-1641.393,Port 2: NDI 8700449  s/n:3532DC02,499853392,1,OK,0.6487119,-0.1480840,-0.7433372,-0.0685122,179.096,-89.202,-1532.226,0.2995438,4,OK,179.166,-89.218,-1531.894,OK,166.507,-35.764,-1541.031,OK,94.714,-62.965,-1545.348,OK,134.835,-112.370,-1534.575
