Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499862053,1,OK,0.3747446,-0.2226770,-0.5159696,-0.7373987,173.792,13.120,-1601.409,0.1571850,4,OK,152.021,153.882,-1530.871,OK,149.108,200.515,-1512.518,OK,165.927,242.087,-1479.031,OK,124.563,283.792,-1496.060,Port 2: NDI 8700449  s/n:3532DC02,499862053,1,OK,0.6480267,-0.1477119,-0.7440317,-0.0682600,179.017,-89.247,-1532.389,0.3313145,4,OK,179.077,-89.267,-1532.010,OK,166.392,-35.823,-1541.259,OK,94.634,-63.097,-1545.648,OK,134.792,-112.455,-1534.859
2,Port 1: NDI 8700340  s/n:34802401,499862056,1,OK,0.3749907,-0.2229247,-0.5156031,-0.7374551,173.763,13.097,-1601.411,0.1543764,4,OK,152.067,153.827,-1530.761,OK,149.182,200.446,-1512.430,OK,166.013,242.002,-1478.911,OK,124.660,283.717,-1495.866,Port 2: NDI 8700449  s/n:3532DC02,499862056,1,OK,0.6481061,-0.1477096,-0.7439689,-0.0681953,179.011,-89.256,-1532.414,0.3260355,4,OK,179.074,-89.275,-1532.043,OK,166.383,-35.830,-1541.279,OK,94.623,-63.117,-1545.661,OK,134.781,-112.469,-1534.866
2,Port 1: NDI 8700340  s/n:34802401,499862059,1,OK,0.3749397,-0.2231678,-0.5165628,-0.7367356,173.713,13.077,-1601.370,0.1509039,4,OK,151.925,153.965,-1531.044,OK,149.003,200.624,-1512.840,OK,165.796,242.257,-1479.422,OK,124.432,283.913,-1496.463,Port 2: NDI 8700449  s/n:3532DC02,499862059,1,OK,0.6480213,-0.1477846,-0.7440315,-0.0681563,179.017,-89.254,-1532.407,0.3334975,4,OK,179.078,-89.272,-1532.025,OK,166.393,-35.828,-1541.292,OK,94.635,-63.111,-1545.668,OK,134.788,-112.466,-1534.872
2,Port 1: NDI 8700340  s/n:34802401,499862062,1,OK,0.3746202,-0.2225610,-0.5173856,-0.7365042,173.764,13.146,-1601.517,0.1488008,4,OK,151.753,154.093,-1531.416,OK,148.766,200.768,-1513.212,OK,165.485,242.471,-1479.838,OK,124.108,284.070,-1497.015,Port 2: NDI 8700449  s/n:3532DC02,499862062,1,OK,0.6480311,-0.1476326,-0.7440422,-0.0682750,179.011,-89.255,-1532.403,0.3255703,4,OK,179.072,-89.273,-1532.032,OK,166.382,-35.833,-1541.261,OK,94.628,-63.114,-1545.665,OK,134.787,-112.465,-1534.871
2,Port 1: NDI 8700340  s/n:34802401,499862065,1,OK,0.3742408,-0.2221085,-0.5184693,-0.7360715,173.779,13.100,-1601.395,0.1569569,4,OK,151.546,154.160,-1531.595,OK,148.498,200.877,-1513.487,OK,165.139,242.647,-1480.152,OK,123.750,284.178,-1497.489,Port 2: NDI 8700449  s/n:3532DC02,499862065,1,OK,0.6480658,-0.1477368,-0.7439920,-0.0682673,179.008,-89.258,-1532.412,0.3162717,4,OK,179.070,-89.275,-1532.054,OK,166.385,-35.834,-1541.268,OK,94.630,-63.106,-1545.674,OK,134.776,-112.462,-1534.861
2,Port 1: NDI 8700340  s/n:34802401,499862068,1,OK,0.3748599,-0.2219923,-0.5189268,-0.7354689,173.764,13.073,-1601.349,0.1509046,4,OK,151.326,154.168,-1531.666,OK,148.201,200.890,-1513.608,OK,164.778,242.709,-1480.329,OK,123.323,284.165,-1497.673,Port 2: NDI 8700449  s/n:3532DC02,499862068,1,OK,0.6478497,-0.1479336,-0.7441633,-0.0680242,179.012,-89.253,-1532.396,0.3191893,4,OK,179.075,-89.276,-1532.033,OK,166.389,-35.835,-1541.296,OK,94.634,-63.113,-1545.712,OK,134.786,-112.460,-1534.849
2,Port 1: NDI 8700340  s/n:34802401,499862071,1,OK,0.3744875,-0.2217033,-0.5190901,-0.7356305,173.742,13.090,-1601.396,0.1611503,4,OK,151.274,154.194,-1531.719,OK,148.145,200.916,-1513.718,OK,164.710,242.731,-1480.376,OK,123.273,284.199,-1497.773,Port 2: NDI 8700449  s/n:3532DC02,499862071,1,OK,0.6479819,-0.1475606,-0.7440945,-0.0683286,179.010,-89.255,-1532.396,0.3139657,4,OK,179.073,-89.275,-1532.040,OK,166.375,-35.830,-1541.239,OK,94.631,-63.115,-1545.677,OK,134.783,-112.466,-1534.862
2,Port 1: NDI 8700340  s/n:34802401,499862074,1,OK,0.3738123,-0.2211512,-0.5198936,-0.7355726,173.777,13.058,-1601.315,0.1642297,4,OK,151.163,154.251,-1531.857,OK,147.997,200.982,-1513.883,OK,164.511,242.830,-1480.568,OK,123.089,284.279,-1498.118,Port 2: NDI 8700449  s/n:3532DC02,499862074,1,OK,0.6481542,-0.1478507,-0.7439089,-0.0680876,179.013,-89.263,-1532.431,0.3189973,4,OK,179.074,-89.281,-1532.073,OK,166.390,-35.835,-1541.303,OK,94.621,-63.119,-1545.677,OK,134.782,-112.478,-1534.856
2,Port 1: NDI 8700340  s/n:34802401,499862077,1,OK,0.3750828,-0.2214534,-0.5198911,-0.7348364,173.736,13.096,-1601.434,0.1456332,4,OK,150.979,154.259,-1532.012,OK,147.744,200.998,-1513.987,OK,164.221,242.905,-1480.789,OK,122.704,284.267,-1498.241,Port 2: NDI 8700449  s/n:3532DC02,499862077,1,OK,0.6481237,-0.1475408,-0.7439715,-0.0683650,179.010,-89.264,-1532.422,0.3158515,4,OK,179.073,-89.282,-1532.064,OK,166.377,-35.839,-1541.254,OK,94.627,-63.123,-1545.667,OK,134.780,-112.471,-1534.878
2,Port 1: NDI 8700340  s/n:34802401,499862080,1,OK,0.3737187,-0.2183979,-0.5214753,-0.7353232,173.755,13.105,-1601.464,0.1540243,4,OK,150.272,154.242,-1532.213,OK,146.846,200.982,-1514.268,OK,163.012,242.918,-1480.912,OK,121.559,284.205,-1498.680,Port 2: NDI 8700449  s/n:3532DC02,499862080,1,OK,0.6479512,-0.1475505,-0.7441278,-0.0682778,178.993,-89.276,-1532.433,0.3102320,4,OK,179.055,-89.295,-1532.084,OK,166.358,-35.852,-1541.276,OK,94.610,-63.147,-1545.726,OK,134.768,-112.490,-1534.894
2,Port 1: NDI 8700340  s/n:34802401,499862083,1,OK,0.3735404,-0.2190670,-0.5219272,-0.7348940,173.743,13.063,-1601.368,0.1611333,4,OK,150.367,154.335,-1532.328,OK,146.969,201.102,-1514.490,OK,163.188,243.075,-1481.192,OK,121.729,284.357,-1499.011,Port 2: NDI 8700449  s/n:3532DC02,499862083,1,OK,0.6477607,-0.1477560,-0.7442713,-0.0680767,178.997,-89.267,-1532.413,0.3083262,4,OK,179.063,-89.292,-1532.067,OK,166.366,-35.844,-1541.293,OK,94.619,-63.143,-1545.758,OK,134.774,-112.482,-1534.872
2,Port 1: NDI 8700340  s/n:34802401,499862086,1,OK,0.3726910,-0.2198123,-0.5219038,-0.7351193,173.733,13.013,-1601.278,0.1603556,4,OK,150.677,154.390,-1532.337,OK,147.383,201.164,-1514.501,OK,163.710,243.120,-1481.251,OK,122.323,284.491,-1499.102,Port 2: NDI 8700449  s/n:3532DC02,499862086,1,OK,0.6479703,-0.1475133,-0.7441213,-0.0682485,178.990,-89.277,-1532.438,0.3218907,4,OK,179.054,-89.295,-1532.074,OK,166.354,-35.853,-1541.290,OK,94.600,-63.156,-1545.719,OK,134.767,-112.499,-1534.911
2,Port 1: NDI 8700340  s/n:34802401,499862089,1,OK,0.3727403,-0.2197334,-0.5217167,-0.7352507,173.759,13.079,-1601.410,0.1631718,4,OK,150.707,154.405,-1532.395,OK,147.420,201.189,-1514.561,OK,163.739,243.139,-1481.264,OK,122.360,284.514,-1499.091,Port 2: NDI 8700449  s/n:3532DC02,499862089,1,OK,0.6478405,-0.1476980,-0.7442063,-0.0681545,178.998,-89.271,-1532.415,0.3079063,4,OK,179.061,-89.290,-1532.070,OK,166.369,-35.852,-1541.280,OK,94.617,-63.144,-1545.739,OK,134.772,-112.483,-1534.873
2,Port 1: NDI 8700340  s/n:34802401,499862092,1,OK,0.3729155,-0.2200394,-0.5212859,-0.7353759,173.755,13.073,-1601.399,0.1647730,4,OK,150.813,154.362,-1532.262,OK,147.564,201.141,-1514.433,OK,163.911,243.069,-1481.104,OK,122.549,284.457,-1498.857,Port 2: NDI 8700449  s/n:3532DC02,499862092,1,OK,0.6478986,-0.1474433,-0.7441901,-0.0683305,178.996,-89.272,-1532.414,0.3284189,4,OK,179.057,-89.290,-1532.040,OK,166.359,-35.847,-1541.265,OK,94.609,-63.145,-1545.704,OK,134.777,-112.497,-1534.909
2,Port 1: NDI 8700340  s/n:34802401,499862095,1,OK,0.3733349,-0.2204119,-0.5206924,-0.7354720,173.734,13.054,-1601.358,0.1561481,4,OK,150.907,154.300,-1532.075,OK,147.675,201.048,-1514.161,OK,164.082,242.932,-1480.860,OK,122.700,284.349,-1498.515,Port 2: NDI 8700449  s/n:3532DC02,499862095,1,OK,0.6479658,-0.1475116,-0.7441238,-0.0682677,178.991,-89.272,-1532.427,0.3101919,4,OK,179.053,-89.290,-1532.078,OK,166.351,-35.850,-1541.267,OK,94.606,-63.147,-1545.717,OK,134.769,-112.491,-1534.888
2,Port 1: NDI 8700340  s/n:34802401,499862098,1,OK,0.3737719,-0.2199064,-0.5208133,-0.7353158,173.714,13.066,-1601.393,0.1542486,4,OK,150.674,154.259,-1532.078,OK,147.385,201.004,-1514.173,OK,163.705,242.910,-1480.848,OK,122.291,284.269,-1498.494,Port 2: NDI 8700449  s/n:3532DC02,499862098,1,OK,0.6479677,-0.1474770,-0.7441239,-0.0683223,178.995,-89.272,-1532.430,0.3096044,4,OK,179.059,-89.291,-1532.081,OK,166.359,-35.847,-1541.263,OK,94.611,-63.146,-1545.718,OK,134.771,-112.491,-1534.893
2,Port 1: NDI 8700340  s/n:34802401,499862101,1,OK,0.3733737,-0.2186979,-0.5214339,-0.7354386,173.712,13.065,-1601.398,0.1515412,4,OK,150.370,154.244,-1532.166,OK,146.975,200.986,-1514.239,OK,163.186,242.904,-1480.897,OK,121.777,284.233,-1498.661,Port 2: NDI 8700449  s/n:3532DC02,499862101,1,OK,0.6478390,-0.1475285,-0.7442298,-0.0682785,178.986,-89.278,-1532.415,0.3084021,4,OK,179.052,-89.300,-1532.069,OK,166.350,-35.851,-1541.261,OK,94.605,-63.151,-1545.737,OK,134.762,-112.497,-1534.885
2,Port 1: NDI 8700340  s/n:34802401,499862104,1,OK,0.3730310,-0.2183476,-0.5219423,-0.7353560,173.751,13.066,-1601.396,0.1500074,4,OK,150.305,154.292,-1532.318,OK,146.876,201.042,-1514.367,OK,163.056,242.988,-1481.074,OK,121.646,284.303,-1498.931,Port 2: NDI 8700449  s/n:3532DC02,499862104,1,OK,0.6479855,-0.1475051,-0.7441084,-0.0682620,178.991,-89.272,-1532.427,0.3165810,4,OK,179.054,-89.288,-1532.070,OK,166.354,-35.850,-1541.271,OK,94.600,-63.148,-1545.709,OK,134.769,-112.493,-1534.893
2,Port 1: NDI 8700340  s/n:34802401,499862107,1,OK,0.3734133,-0.2185541,-0.5218990,-0.7351313,173.718,13.042,-1601.358,0.1465027,4,OK,150.264,154.273,-1532.266,OK,146.821,201.018,-1514.357,OK,163.001,242.973,-1481.070,OK,121.570,284.270,-1498.884,Port 2: NDI 8700449  s/n:3532DC02,499862107,1,OK,0.6479251,-0.1476213,-0.7441500,-0.0681307,178.993,-89.274,-1532.443,0.3195882,4,OK,179.056,-89.290,-1532.084,OK,166.359,-35.852,-1541.310,OK,94.602,-63.155,-1545.741,OK,134.770,-112.502,-1534.906
