Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499863022,1,OK,0.7882278,-0.1723864,-0.3819453,-0.4506636,142.120,-25.293,-1569.112,0.2528030,4,OK,76.067,60.286,-1453.050,OK,53.600,91.502,-1420.209,OK,52.304,135.711,-1385.940,OK,-5.435,130.372,-1366.996,Port 2: NDI 8700449  s/n:3532DC02,499863022,1,OK,0.6497060,-0.1492991,-0.7421841,-0.0689541,179.307,-88.980,-1532.099,0.2979614,4,OK,179.378,-89.002,-1531.768,OK,166.832,-35.510,-1540.889,OK,94.956,-62.540,-1544.979,OK,134.977,-112.023,-1534.303
2,Port 1: NDI 8700340  s/n:34802401,499863025,1,OK,0.7875200,-0.1724053,-0.3834846,-0.4505865,142.152,-25.317,-1569.075,0.2576126,4,OK,75.754,60.467,-1453.365,OK,53.196,91.734,-1420.604,OK,51.800,136.003,-1386.448,OK,-5.985,130.691,-1367.672,Port 2: NDI 8700449  s/n:3532DC02,499863025,1,OK,0.6497582,-0.1488891,-0.7421831,-0.0693577,179.313,-88.970,-1532.085,0.3184483,4,OK,179.382,-88.988,-1531.723,OK,166.831,-35.497,-1540.836,OK,94.961,-62.520,-1544.925,OK,134.987,-112.017,-1534.348
2,Port 1: NDI 8700340  s/n:34802401,499863028,1,OK,0.7861798,-0.1736151,-0.3856405,-0.4506223,142.140,-25.369,-1569.061,0.2467364,4,OK,75.474,61.011,-1453.921,OK,52.858,92.450,-1421.410,OK,51.422,136.859,-1387.430,OK,-6.442,131.705,-1368.826,Port 2: NDI 8700449  s/n:3532DC02,499863028,1,OK,0.6496938,-0.1489290,-0.7422428,-0.0692363,179.305,-88.987,-1532.087,0.2980826,4,OK,179.375,-89.008,-1531.754,OK,166.819,-35.513,-1540.833,OK,94.954,-62.552,-1544.961,OK,134.979,-112.035,-1534.324
2,Port 1: NDI 8700340  s/n:34802401,499863031,1,OK,0.7844985,-0.1750238,-0.3877947,-0.4511585,142.139,-25.385,-1569.068,0.2522049,4,OK,75.294,61.674,-1454.559,OK,52.646,93.309,-1422.225,OK,51.207,137.870,-1388.475,OK,-6.738,132.957,-1370.054,Port 2: NDI 8700449  s/n:3532DC02,499863031,1,OK,0.6495791,-0.1488109,-0.7423574,-0.0693377,179.301,-88.988,-1532.115,0.3258945,4,OK,179.365,-89.002,-1531.742,OK,166.818,-35.519,-1540.880,OK,94.955,-62.556,-1544.989,OK,134.979,-112.041,-1534.411
2,Port 1: NDI 8700340  s/n:34802401,499863034,1,OK,0.7834526,-0.1761254,-0.3891068,-0.4514175,142.124,-25.398,-1569.085,0.2446206,4,OK,75.209,62.129,-1454.961,OK,52.549,93.904,-1422.813,OK,51.122,138.568,-1389.171,OK,-6.869,133.818,-1370.844,Port 2: NDI 8700449  s/n:3532DC02,499863034,1,OK,0.6493654,-0.1490038,-0.7425312,-0.0690639,179.287,-88.988,-1532.099,0.3252875,4,OK,179.349,-89.004,-1531.728,OK,166.805,-35.521,-1540.909,OK,94.944,-62.574,-1545.030,OK,134.967,-112.050,-1534.396
2,Port 1: NDI 8700340  s/n:34802401,499863037,1,OK,0.7833256,-0.1763121,-0.3892552,-0.4514372,142.138,-25.394,-1569.053,0.2463128,4,OK,75.223,62.200,-1454.984,OK,52.570,93.998,-1422.844,OK,51.151,138.675,-1389.232,OK,-6.855,133.946,-1370.911,Port 2: NDI 8700449  s/n:3532DC02,499863037,1,OK,0.6495754,-0.1491281,-0.7423222,-0.0690682,179.300,-88.986,-1532.099,0.3191878,4,OK,179.364,-89.002,-1531.738,OK,166.827,-35.518,-1540.898,OK,94.952,-62.555,-1544.988,OK,134.974,-112.036,-1534.360
2,Port 1: NDI 8700340  s/n:34802401,499863040,1,OK,0.7836781,-0.1756184,-0.3882799,-0.4519353,142.173,-25.319,-1569.045,0.2558239,4,OK,75.397,62.004,-1454.707,OK,52.785,93.731,-1422.438,OK,51.402,138.337,-1388.722,OK,-6.576,133.571,-1370.363,Port 2: NDI 8700449  s/n:3532DC02,499863040,1,OK,0.6497124,-0.1490252,-0.7422019,-0.0692942,179.324,-88.960,-1532.074,0.3109126,4,OK,179.390,-88.976,-1531.722,OK,166.847,-35.488,-1540.836,OK,94.982,-62.503,-1544.931,OK,134.994,-112.004,-1534.326
2,Port 1: NDI 8700340  s/n:34802401,499863043,1,OK,0.7845684,-0.1758996,-0.3863064,-0.4519724,142.164,-25.317,-1569.039,0.2444306,4,OK,75.869,61.824,-1454.262,OK,53.384,93.503,-1421.915,OK,52.153,138.043,-1388.073,OK,-5.765,133.265,-1369.477,Port 2: NDI 8700449  s/n:3532DC02,499863043,1,OK,0.6497039,-0.1494628,-0.7421500,-0.0689857,179.340,-88.952,-1532.045,0.3086078,4,OK,179.408,-88.972,-1531.700,OK,166.879,-35.478,-1540.853,OK,94.993,-62.481,-1544.917,OK,135.008,-111.994,-1534.255
2,Port 1: NDI 8700340  s/n:34802401,499863046,1,OK,0.7845652,-0.1749728,-0.3852919,-0.4532020,142.213,-25.303,-1569.023,0.2559078,4,OK,76.088,61.562,-1453.957,OK,53.659,93.171,-1421.427,OK,52.513,137.598,-1387.493,OK,-5.388,132.840,-1368.908,Port 2: NDI 8700449  s/n:3532DC02,499863046,1,OK,0.6495197,-0.1492005,-0.7423377,-0.0692683,179.349,-88.944,-1532.016,0.3144342,4,OK,179.412,-88.961,-1531.661,OK,166.890,-35.470,-1540.803,OK,95.012,-62.470,-1544.918,OK,135.020,-111.982,-1534.280
2,Port 1: NDI 8700340  s/n:34802401,499863049,1,OK,0.7843570,-0.1744512,-0.3853281,-0.4537325,142.176,-25.286,-1569.057,0.2599967,4,OK,76.006,61.485,-1453.963,OK,53.577,93.065,-1421.410,OK,52.417,137.473,-1387.420,OK,-5.522,132.732,-1368.882,Port 2: NDI 8700449  s/n:3532DC02,499863049,1,OK,0.6495736,-0.1492274,-0.7422903,-0.0692131,179.346,-88.931,-1532.014,0.3091117,4,OK,179.411,-88.949,-1531.666,OK,166.884,-35.457,-1540.799,OK,95.008,-62.463,-1544.909,OK,135.014,-111.971,-1534.263
