Tools,Port 1: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 2: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
2,Port 1: NDI 8700340  s/n:34802401,499856026,1,OK,0.8389470,-0.0377112,-0.5406113,0.0498511,115.509,-86.448,-1574.630,0.1413596,4,OK,-20.584,-84.134,-1492.620,OK,-66.437,-83.522,-1472.046,OK,-112.901,-58.238,-1454.276,OK,-142.515,-107.645,-1434.012,Port 2: NDI 8700449  s/n:3532DC02,499856026,1,OK,0.6484706,-0.1481707,-0.7435507,-0.0682916,179.052,-89.263,-1532.348,0.3152729,4,OK,179.116,-89.280,-1531.991,OK,166.456,-35.828,-1541.206,OK,94.680,-63.048,-1545.516,OK,134.799,-112.441,-1534.732
2,Port 1: NDI 8700340  s/n:34802401,499856029,1,OK,0.8385144,-0.0378194,-0.5413032,0.0495396,115.559,-86.407,-1574.525,0.1432059,4,OK,-20.681,-84.039,-1492.755,OK,-66.564,-83.398,-1472.205,OK,-113.025,-58.091,-1454.557,OK,-142.702,-107.497,-1434.351,Port 2: NDI 8700449  s/n:3532DC02,499856029,1,OK,0.6484559,-0.1476754,-0.7436167,-0.0687828,179.057,-89.255,-1532.337,0.3211971,4,OK,179.120,-89.268,-1531.972,OK,166.461,-35.819,-1541.131,OK,94.681,-63.034,-1545.491,OK,134.809,-112.430,-1534.775
2,Port 1: NDI 8700340  s/n:34802401,499856032,1,OK,0.8380843,-0.0373482,-0.5420622,0.0488702,115.531,-86.411,-1574.591,0.1446857,4,OK,-20.844,-84.104,-1493.058,OK,-66.764,-83.464,-1472.582,OK,-113.256,-58.163,-1454.974,OK,-142.983,-107.586,-1434.901,Port 2: NDI 8700449  s/n:3532DC02,499856032,1,OK,0.6483134,-0.1479379,-0.7437113,-0.0685388,179.053,-89.259,-1532.337,0.3071909,4,OK,179.122,-89.277,-1531.991,OK,166.460,-35.825,-1541.160,OK,94.682,-63.043,-1545.542,OK,134.801,-112.433,-1534.748
2,Port 1: NDI 8700340  s/n:34802401,499856035,1,OK,0.8375440,-0.0369151,-0.5430299,0.0477050,115.557,-86.424,-1574.550,0.1422043,4,OK,-21.004,-84.091,-1493.306,OK,-66.965,-83.447,-1472.966,OK,-113.454,-58.106,-1455.390,OK,-143.301,-107.533,-1435.480,Port 2: NDI 8700449  s/n:3532DC02,499856035,1,OK,0.6483206,-0.1478597,-0.7437199,-0.0685467,179.046,-89.254,-1532.338,0.3157826,4,OK,179.110,-89.272,-1531.981,OK,166.448,-35.820,-1541.163,OK,94.669,-63.044,-1545.535,OK,134.801,-112.434,-1534.762
2,Port 1: NDI 8700340  s/n:34802401,499856038,1,OK,0.8374110,-0.0373093,-0.5432286,0.0474704,115.538,-86.423,-1574.573,0.1419269,4,OK,-21.062,-83.952,-1493.403,OK,-67.032,-83.259,-1473.091,OK,-113.519,-57.879,-1455.544,OK,-143.412,-107.270,-1435.633,Port 2: NDI 8700449  s/n:3532DC02,499856038,1,OK,0.6483482,-0.1481045,-0.7436652,-0.0683499,179.044,-89.260,-1532.320,0.3227298,4,OK,179.110,-89.281,-1531.953,OK,166.453,-35.823,-1541.181,OK,94.669,-63.050,-1545.510,OK,134.793,-112.436,-1534.730
2,Port 1: NDI 8700340  s/n:34802401,499856041,1,OK,0.8376783,-0.0372502,-0.5428542,0.0470833,115.541,-86.432,-1574.572,0.1466447,4,OK,-20.982,-83.917,-1493.272,OK,-66.942,-83.201,-1472.935,OK,-113.391,-57.802,-1455.321,OK,-143.292,-107.183,-1435.411,Port 2: NDI 8700449  s/n:3532DC02,499856041,1,OK,0.6485372,-0.1480744,-0.7435019,-0.0683987,179.047,-89.266,-1532.355,0.3287579,4,OK,179.109,-89.284,-1531.979,OK,166.450,-35.829,-1541.208,OK,94.671,-63.046,-1545.494,OK,134.796,-112.443,-1534.758
2,Port 1: NDI 8700340  s/n:34802401,499856044,1,OK,0.8378545,-0.0375932,-0.5425405,0.0472907,115.559,-86.442,-1574.538,0.1457416,4,OK,-20.914,-83.850,-1493.138,OK,-66.853,-83.114,-1472.780,OK,-113.279,-57.697,-1455.153,OK,-143.179,-107.067,-1435.176,Port 2: NDI 8700449  s/n:3532DC02,499856044,1,OK,0.6483874,-0.1479479,-0.7436483,-0.0685016,179.053,-89.255,-1532.330,0.3091389,4,OK,179.118,-89.272,-1531.982,OK,166.457,-35.821,-1541.155,OK,94.679,-63.041,-1545.518,OK,134.804,-112.431,-1534.734
2,Port 1: NDI 8700340  s/n:34802401,499856047,1,OK,0.8379643,-0.0377708,-0.5423484,0.0474078,115.570,-86.439,-1574.518,0.1445819,4,OK,-20.865,-83.810,-1493.066,OK,-66.795,-83.064,-1472.677,OK,-113.218,-57.636,-1455.047,OK,-143.113,-107.000,-1435.035,Port 2: NDI 8700449  s/n:3532DC02,499856047,1,OK,0.6483184,-0.1480397,-0.7436988,-0.0684070,179.055,-89.254,-1532.303,0.3147837,4,OK,179.121,-89.272,-1531.948,OK,166.460,-35.821,-1541.151,OK,94.681,-63.042,-1545.505,OK,134.806,-112.430,-1534.713
2,Port 1: NDI 8700340  s/n:34802401,499856050,1,OK,0.8381107,-0.0379133,-0.5421275,0.0472314,115.545,-86.429,-1574.579,0.1443068,4,OK,-20.840,-83.729,-1493.077,OK,-66.768,-82.961,-1472.620,OK,-113.172,-57.511,-1454.999,OK,-143.081,-106.856,-1434.969,Port 2: NDI 8700449  s/n:3532DC02,499856050,1,OK,0.6485485,-0.1479840,-0.7434974,-0.0685362,179.055,-89.258,-1532.339,0.3195348,4,OK,179.118,-89.276,-1531.977,OK,166.461,-35.820,-1541.165,OK,94.677,-63.031,-1545.480,OK,134.803,-112.430,-1534.738
2,Port 1: NDI 8700340  s/n:34802401,499856053,1,OK,0.8380021,-0.0382452,-0.5422373,0.0476287,115.562,-86.394,-1574.490,0.1418242,4,OK,-20.860,-83.657,-1493.023,OK,-66.781,-82.886,-1472.596,OK,-113.202,-57.435,-1455.005,OK,-143.091,-106.763,-1434.941,Port 2: NDI 8700449  s/n:3532DC02,499856053,1,OK,0.6482745,-0.1481328,-0.7437161,-0.0684338,179.063,-89.240,-1532.312,0.3187013,4,OK,179.129,-89.262,-1531.952,OK,166.480,-35.804,-1541.169,OK,94.692,-63.017,-1545.522,OK,134.811,-112.407,-1534.727
2,Port 1: NDI 8700340  s/n:34802401,499856056,1,OK,0.8381535,-0.0384329,-0.5419804,0.0477375,115.575,-86.390,-1574.481,0.1438842,4,OK,-20.803,-83.614,-1492.931,OK,-66.706,-82.824,-1472.490,OK,-113.120,-57.361,-1454.874,OK,-142.992,-106.685,-1434.773,Port 2: NDI 8700449  s/n:3532DC02,499856056,1,OK,0.6484907,-0.1480822,-0.7435329,-0.0684860,179.064,-89.244,-1532.313,0.3175476,4,OK,179.127,-89.261,-1531.953,OK,166.477,-35.808,-1541.151,OK,94.692,-63.020,-1545.469,OK,134.806,-112.409,-1534.712
2,Port 1: NDI 8700340  s/n:34802401,499856059,1,OK,0.8383806,-0.0389357,-0.5416269,0.0473521,115.546,-86.357,-1574.520,0.1419913,4,OK,-20.758,-83.372,-1492.872,OK,-66.654,-82.520,-1472.390,OK,-113.019,-57.000,-1454.752,OK,-142.949,-106.266,-1434.603,Port 2: NDI 8700449  s/n:3532DC02,499856059,1,OK,0.6486620,-0.1478788,-0.7434039,-0.0687034,179.074,-89.235,-1532.332,0.3396942,4,OK,179.133,-89.251,-1531.941,OK,166.488,-35.796,-1541.150,OK,94.694,-63.001,-1545.425,OK,134.822,-112.397,-1534.758
2,Port 1: NDI 8700340  s/n:34802401,499856062,1,OK,0.8383207,-0.0404920,-0.5416204,0.0471818,115.558,-86.412,-1574.523,0.1431893,4,OK,-20.753,-82.956,-1492.914,OK,-66.661,-81.976,-1472.439,OK,-112.971,-56.309,-1454.877,OK,-143.006,-105.474,-1434.612,Port 2: NDI 8700449  s/n:3532DC02,499856062,1,OK,0.6482673,-0.1480221,-0.7437370,-0.0685148,179.064,-89.240,-1532.301,0.3331293,4,OK,179.129,-89.259,-1531.920,OK,166.479,-35.803,-1541.159,OK,94.694,-63.018,-1545.498,OK,134.813,-112.413,-1534.744
2,Port 1: NDI 8700340  s/n:34802401,499856065,1,OK,0.8384907,-0.0398177,-0.5414679,0.0464806,115.584,-86.358,-1574.463,0.1477382,4,OK,-20.692,-82.995,-1492.766,OK,-66.587,-82.027,-1472.324,OK,-112.883,-56.371,-1454.650,OK,-142.921,-105.563,-1434.469,Port 2: NDI 8700449  s/n:3532DC02,499856065,1,OK,0.6484279,-0.1479369,-0.7436027,-0.0686373,179.073,-89.242,-1532.312,0.3205459,4,OK,179.139,-89.260,-1531.948,OK,166.486,-35.804,-1541.134,OK,94.699,-63.011,-1545.478,OK,134.819,-112.408,-1534.732
2,Port 1: NDI 8700340  s/n:34802401,499856068,1,OK,0.8387306,-0.0400676,-0.5410418,0.0468967,115.617,-86.370,-1574.413,0.1447080,4,OK,-20.592,-82.986,-1492.594,OK,-66.455,-82.015,-1472.071,OK,-112.738,-56.360,-1454.410,OK,-142.734,-105.545,-1434.157,Port 2: NDI 8700449  s/n:3532DC02,499856068,1,OK,0.6484987,-0.1481889,-0.7435129,-0.0683966,179.064,-89.240,-1532.315,0.3145399,4,OK,179.133,-89.260,-1531.959,OK,166.476,-35.804,-1541.162,OK,94.690,-63.010,-1545.476,OK,134.807,-112.407,-1534.697
2,Port 1: NDI 8700340  s/n:34802401,499856071,1,OK,0.8389045,-0.0397981,-0.5407144,0.0477838,115.569,-86.418,-1574.511,0.1415590,4,OK,-20.570,-83.227,-1492.586,OK,-66.420,-82.321,-1472.020,OK,-112.737,-56.748,-1454.333,OK,-142.646,-105.970,-1434.024,Port 2: NDI 8700449  s/n:3532DC02,499856071,1,OK,0.6483981,-0.1480760,-0.7436152,-0.0684827,179.064,-89.251,-1532.327,0.3261500,4,OK,179.127,-89.265,-1531.958,OK,166.484,-35.818,-1541.176,OK,94.687,-63.029,-1545.500,OK,134.809,-112.418,-1534.744
2,Port 1: NDI 8700340  s/n:34802401,499856074,1,OK,0.8389521,-0.0386940,-0.5406609,0.0484566,115.575,-86.431,-1574.480,0.1417835,4,OK,-20.547,-83.645,-1492.508,OK,-66.395,-82.871,-1471.932,OK,-112.759,-57.424,-1454.202,OK,-142.550,-106.736,-1433.938,Port 2: NDI 8700449  s/n:3532DC02,499856074,1,OK,0.6485538,-0.1481643,-0.7434698,-0.0683957,179.065,-89.247,-1532.336,0.3237884,4,OK,179.132,-89.260,-1531.968,OK,166.480,-35.815,-1541.186,OK,94.687,-63.021,-1545.476,OK,134.807,-112.417,-1534.725
2,Port 1: NDI 8700340  s/n:34802401,499856077,1,OK,0.8390198,-0.0377758,-0.5405260,0.0495014,115.567,-86.416,-1574.512,0.1415090,4,OK,-20.527,-84.037,-1492.480,OK,-66.363,-83.388,-1471.867,OK,-112.786,-58.079,-1454.119,OK,-142.437,-107.487,-1433.858,Port 2: NDI 8700449  s/n:3532DC02,499856077,1,OK,0.6484608,-0.1479869,-0.7435650,-0.0686268,179.063,-89.245,-1532.324,0.3237951,4,OK,179.126,-89.260,-1531.956,OK,166.481,-35.810,-1541.151,OK,94.689,-63.010,-1545.480,OK,134.809,-112.406,-1534.742
2,Port 1: NDI 8700340  s/n:34802401,499856080,1,OK,0.8391517,-0.0374159,-0.5403371,0.0496007,115.554,-86.431,-1574.540,0.1427532,4,OK,-20.492,-84.158,-1492.436,OK,-66.331,-83.558,-1471.810,OK,-112.753,-58.274,-1454.016,OK,-142.370,-107.703,-1433.764,Port 2: NDI 8700449  s/n:3532DC02,499856080,1,OK,0.6484589,-0.1481235,-0.7435603,-0.0683993,179.069,-89.246,-1532.330,0.3193363,4,OK,179.133,-89.262,-1531.967,OK,166.480,-35.814,-1541.180,OK,94.695,-63.028,-1545.494,OK,134.812,-112.415,-1534.728
2,Port 1: NDI 8700340  s/n:34802401,499856083,1,OK,0.8391032,-0.0377405,-0.5403948,0.0495473,115.602,-86.425,-1574.441,0.1417688,4,OK,-20.469,-84.056,-1492.357,OK,-66.298,-83.426,-1471.750,OK,-112.719,-58.109,-1453.971,OK,-142.349,-107.517,-1433.706,Port 2: NDI 8700449  s/n:3532DC02,499856083,1,OK,0.6484224,-0.1481834,-0.7435818,-0.0683821,179.068,-89.249,-1532.320,0.3231652,4,OK,179.132,-89.269,-1531.952,OK,166.484,-35.817,-1541.180,OK,94.693,-63.028,-1545.491,OK,134.813,-112.411,-1534.722
2,Port 1: NDI 8700340  s/n:34802401,499856086,1,OK,0.8394286,-0.0385571,-0.5397892,0.0500058,115.552,-86.455,-1574.554,0.1428832,4,OK,-20.397,-83.906,-1492.312,OK,-66.211,-83.217,-1471.610,OK,-112.601,-57.868,-1453.842,OK,-142.230,-107.236,-1433.435,Port 2: NDI 8700449  s/n:3532DC02,499856086,1,OK,0.6485940,-0.1480065,-0.7434570,-0.0684961,179.063,-89.254,-1532.349,0.3102333,4,OK,179.127,-89.269,-1531.999,OK,166.469,-35.820,-1541.168,OK,94.686,-63.034,-1545.487,OK,134.807,-112.423,-1534.731
